input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py,best_scheduler
"30D[80|0|20]#S4{1,128|5E12,4E17}",43110.5916,43600.2631,43790.4334,42561.3260,42885.3046,42561.3260,44033.3245,39641.3258,44050.4183,42844.1763,193567.8858,pref_common_pool.py
"30D[80|0|20]#S5{1,128|5E12,4E17}",28438.3794,28998.7214,28438.3768,26775.4960,28147.2613,27204.0073,28317.8436,28563.1533,27938.3147,34222.2878,171824.6266,min_agreement.py
"30D[80|0|20]#S6{1,128|5E12,4E17}",41466.2562,42483.2182,41467.4619,40763.3244,44783.9745,40932.8449,38575.5542,40457.0815,38474.8929,40886.4761,210628.6013,pref_steal_agreement.py
"30D[80|0|20]#S7{1,128|5E12,4E17}",58450.8360,55835.5963,55772.8899,58420.6652,59622.3252,56513.7009,65629.4489,62899.9921,63764.7401,52556.8088,229955.4616,rigid_backfill.py
"30D[80|0|20]#S8{1,128|5E12,4E17}",49232.9272,48879.0457,50426.8302,46641.1163,46331.3885,46520.5377,50749.3510,53108.4429,52000.4505,48464.0067,212815.1173,min_common_pool.py
"30D[80|0|20]#S9{1,128|5E12,4E17}",51157.8007,54572.0406,50487.1888,51671.0624,52960.2981,51944.9030,53255.1800,48356.0826,52486.0840,53225.1172,229141.8294,pref_common_pool.py
"30D[70|0|30]#S0{1,128|5E12,4E17}",26520.8071,25456.8975,26562.2427,26308.9129,25018.8220,26112.0320,24057.9580,25947.0414,23691.9932,43762.6843,209519.4583,pref_steal_agreement.py
"30D[70|0|30]#S1{1,128|5E12,4E17}",21436.2749,21275.1005,21983.5006,21625.3511,20917.0360,21656.0308,20505.9428,20748.7502,20225.4092,36550.2984,203554.4340,pref_steal_agreement.py
"30D[70|0|30]#S2{1,128|5E12,4E17}",35153.9669,33224.7301,34887.9881,37209.0792,34298.2508,36613.0536,35882.6288,32790.3787,33665.2592,51017.7907,190196.5828,pref_common_pool.py
"30D[70|0|30]#S3{1,128|5E12,4E17}",21731.3833,21196.8575,21731.3795,21563.8798,21884.4937,21564.5722,20292.7253,19713.2019,18757.8352,32569.9503,200049.0355,pref_steal_agreement.py
"30D[70|0|30]#S4{1,128|5E12,4E17}",31912.2722,31731.8185,31208.5760,29916.9576,30859.6728,29953.3677,30567.5248,29245.8572,30695.5627,42844.1763,193567.8858,pref_common_pool.py
"30D[70|0|30]#S5{1,128|5E12,4E17}",21091.8039,21321.4563,21091.8039,21535.7760,20989.6309,21410.4559,20493.5776,20184.4452,20515.7647,34222.2878,171824.6266,pref_common_pool.py
"30D[70|0|30]#S6{1,128|5E12,4E17}",29121.2191,28617.8944,28810.9709,31759.1454,28772.1157,31307.0633,28259.1849,27317.2810,28259.1536,40886.4761,210628.6013,pref_common_pool.py
"30D[70|0|30]#S7{1,128|5E12,4E17}",40099.8163,40873.8330,39018.3915,39076.8349,37770.2670,41334.5968,37396.3158,35956.3324,40363.3190,52556.8088,229955.4616,pref_common_pool.py
"30D[70|0|30]#S8{1,128|5E12,4E17}",33308.8651,31737.8300,33309.5569,33640.8062,33110.0106,33640.9877,30002.0551,29052.9918,26221.0576,48464.0067,212815.1173,pref_steal_agreement.py
"30D[70|0|30]#S9{1,128|5E12,4E17}",39005.1575,40604.4653,40291.9494,35683.0985,36052.3971,36677.9676,37457.8926,34333.2000,37503.9073,53225.1172,229141.8294,pref_common_pool.py
"30D[60|0|40]#S0{1,128|5E12,4E17}",21420.9634,21317.4989,21177.1660,20941.6823,21636.4206,21148.3088,20434.9659,19906.3534,20079.6545,43762.6843,209519.4583,pref_common_pool.py
"30D[60|0|40]#S1{1,128|5E12,4E17}",17591.3640,17534.5770,17660.3975,17609.2550,17869.9243,17525.4724,17317.1856,18097.5865,17155.8229,36550.2984,203554.4340,pref_steal_agreement.py
"30D[60|0|40]#S2{1,128|5E12,4E17}",27186.0180,27715.7972,27191.7380,28991.1275,29853.0273,29334.5563,29919.7794,27396.7005,29116.1282,51017.7907,190196.5828,average_agreement.py
"30D[60|0|40]#S3{1,128|5E12,4E17}",16364.8159,16769.7323,16361.3872,16856.6947,16032.3799,16633.0600,15748.6980,16051.8044,15494.4610,32569.9503,200049.0355,pref_steal_agreement.py
"30D[60|0|40]#S4{1,128|5E12,4E17}",23761.5487,23708.4165,23759.8292,23681.4684,25598.7187,25161.0624,24780.6610,24918.7027,22561.2839,42844.1763,193567.8858,pref_steal_agreement.py
"30D[60|0|40]#S5{1,128|5E12,4E17}",17343.9382,16593.4565,16886.5938,16461.2848,17143.9134,16616.5074,16456.3722,16230.4131,16482.4400,34222.2878,171824.6266,pref_common_pool.py
"30D[60|0|40]#S6{1,128|5E12,4E17}",21699.8223,20399.3253,21932.4311,20667.8073,19483.7717,19942.9306,18897.9238,18359.4099,18980.7343,40886.4761,210628.6013,pref_common_pool.py
"30D[60|0|40]#S7{1,128|5E12,4E17}",26259.0101,27133.1394,26268.9227,28367.3616,26282.2274,28589.8536,27617.0165,25962.8872,26101.3754,52556.8088,229955.4616,pref_common_pool.py
"30D[60|0|40]#S8{1,128|5E12,4E17}",21287.4259,20567.5979,20956.4320,21851.7292,20630.9089,21500.5895,20039.7007,19239.2325,18739.8976,48464.0067,212815.1173,pref_steal_agreement.py
"30D[60|0|40]#S9{1,128|5E12,4E17}",27679.6357,28361.4761,27612.7157,27088.3053,27346.9408,26864.0527,26916.7739,25672.8707,27060.8862,53225.1172,229141.8294,pref_common_pool.py
"30D[50|0|50]#S0{1,128|5E12,4E17}",17720.2858,18168.1477,17700.0834,18053.1112,17752.0621,17893.8097,17445.1121,18045.6422,17592.6877,43762.6843,209519.4583,pref_agreement.py
"30D[50|0|50]#S1{1,128|5E12,4E17}",15245.3807,15064.2435,15265.8848,15254.0385,15393.0655,15254.0385,14597.6667,15057.7899,14384.1709,36550.2984,203554.4340,pref_steal_agreement.py
