input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py
"30D[50|0|50]#S3{1,128|5E12,4E17}","1729, 17.7, 0.8","1759, 17.7, 0.8","1727, 17.6, 0.7","1683, 18.3, 0.7","1732, 17.8, 0.8","1683, 18.3, 0.7","1769, 16.9, 0.8","1824, 17.4, 0.8","1775, 16.9, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S4{1,128|5E12,4E17}","1677, 17.9, 0.7","1692, 17.5, 0.7","1677, 17.9, 0.7","1671, 18.2, 0.7","1680, 18.1, 0.7","1693, 18.2, 0.7","1751, 17.0, 0.8","1721, 16.9, 0.8","1731, 17.0, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S5{1,128|5E12,4E17}","1608, 17.8, 0.7","1638, 17.8, 0.7","1603, 17.8, 0.7","1607, 18.3, 0.7","1612, 18.3, 0.7","1597, 18.2, 0.7","1697, 17.8, 0.7","1688, 17.9, 0.7","1684, 17.9, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S6{1,128|5E12,4E17}","1679, 17.2, 0.7","1713, 16.9, 0.7","1686, 17.1, 0.7","1656, 17.4, 0.7","1665, 17.3, 0.7","1664, 17.3, 0.7","1735, 16.6, 0.8","1742, 16.7, 0.8","1766, 16.7, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S7{1,128|5E12,4E17}","1776, 17.2, 0.8","1819, 16.8, 0.8","1769, 17.0, 0.8","1765, 17.3, 0.8","1742, 17.3, 0.8","1753, 17.3, 0.8","1828, 16.6, 0.8","1870, 16.4, 0.8","1847, 16.5, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S8{1,128|5E12,4E17}","1785, 17.4, 0.8","1767, 17.5, 0.8","1745, 17.3, 0.8","1737, 17.9, 0.7","1762, 17.7, 0.8","1744, 17.9, 0.8","1780, 17.2, 0.8","1793, 17.1, 0.8","1780, 17.2, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S9{1,128|5E12,4E17}","1768, 17.8, 0.8","1814, 18.1, 0.8","1776, 17.8, 0.8","1716, 18.3, 0.8","1730, 17.9, 0.8","1742, 17.9, 0.8","1812, 17.5, 0.8","1866, 17.2, 0.8","1828, 17.7, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S0{1,128|5E12,4E17}","1892, 17.0, 0.8","1912, 16.8, 0.8","1892, 17.1, 0.8","1855, 17.2, 0.8","1860, 17.2, 0.8","1847, 17.2, 0.8","1942, 16.5, 0.8","2029, 16.6, 0.9","1946, 16.6, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S1{1,128|5E12,4E17}","1742, 17.2, 0.8","1784, 17.2, 0.8","1739, 17.3, 0.8","1713, 17.6, 0.8","1746, 17.7, 0.8","1721, 17.5, 0.8","1808, 17.1, 0.8","1821, 17.0, 0.8","1811, 17.1, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S2{1,128|5E12,4E17}","1850, 17.6, 0.8","1864, 17.3, 0.8","1834, 17.6, 0.8","1834, 17.8, 0.8","1845, 17.7, 0.8","1816, 18.0, 0.8","1926, 17.1, 0.8","1974, 17.0, 0.9","1937, 17.1, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S3{1,128|5E12,4E17}","1832, 17.5, 0.8","1897, 17.2, 0.8","1831, 17.3, 0.8","1801, 17.7, 0.8","1824, 17.6, 0.8","1801, 17.7, 0.8","1922, 17.1, 0.8","1941, 17.0, 0.8","1928, 17.1, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S4{1,128|5E12,4E17}","1808, 17.5, 0.8","1825, 17.3, 0.8","1822, 17.4, 0.8","1804, 17.8, 0.8","1810, 17.9, 0.8","1776, 17.9, 0.8","1916, 17.1, 0.8","1925, 17.0, 0.9","1896, 16.9, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S5{1,128|5E12,4E17}","1732, 17.3, 0.8","1763, 17.7, 0.8","1732, 17.3, 0.8","1709, 18.1, 0.7","1714, 17.8, 0.8","1690, 17.9, 0.7","1784, 17.5, 0.8","1810, 17.3, 0.8","1798, 17.6, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S6{1,128|5E12,4E17}","1811, 17.0, 0.8","1851, 17.0, 0.8","1833, 17.0, 0.8","1763, 17.4, 0.8","1810, 17.2, 0.8","1762, 17.4, 0.8","1856, 16.9, 0.8","1891, 16.8, 0.8","1846, 17.0, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S7{1,128|5E12,4E17}","1865, 17.2, 0.8","1909, 17.0, 0.8","1893, 16.8, 0.8","1835, 17.1, 0.8","1915, 17.2, 0.8","1826, 16.9, 0.8","1926, 16.7, 0.8","1943, 16.7, 0.8","1898, 16.7, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S8{1,128|5E12,4E17}","1825, 17.2, 0.8","1875, 16.8, 0.8","1842, 17.1, 0.8","1793, 17.4, 0.8","1820, 17.3, 0.8","1793, 17.4, 0.8","1882, 16.8, 0.8","1922, 16.5, 0.8","1918, 16.4, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S9{1,128|5E12,4E17}","1908, 17.3, 0.8","1962, 17.2, 0.9","1875, 17.4, 0.8","1830, 17.7, 0.8","1903, 17.5, 0.8","1835, 17.7, 0.8","1902, 17.2, 0.8","1956, 17.2, 0.9","1888, 16.9, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
