input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py,best_scheduler
"30D[80|0|20]#S7{1,128|5E12,4E17}",0.9628,0.9635,0.9662,0.9627,0.9628,0.9643,0.9577,0.9595,0.9598,0.9744,0.8599,rigid_backfill.py
"30D[80|0|20]#S8{1,128|5E12,4E17}",0.9604,0.9602,0.9603,0.9598,0.9637,0.9605,0.9612,0.9586,0.9604,0.9683,0.8639,rigid_backfill.py
"30D[80|0|20]#S9{1,128|5E12,4E17}",0.9604,0.9576,0.9617,0.9595,0.9597,0.9606,0.9586,0.9621,0.9582,0.9661,0.8530,rigid_backfill.py
"30D[70|0|30]#S0{1,128|5E12,4E17}",0.9683,0.9698,0.9685,0.9683,0.9707,0.9690,0.9699,0.9678,0.9709,0.9682,0.8609,pref_steal_agreement.py
"30D[70|0|30]#S1{1,128|5E12,4E17}",0.9712,0.9722,0.9707,0.9721,0.9729,0.9718,0.9726,0.9721,0.9727,0.9716,0.8650,min_common_pool.py
"30D[70|0|30]#S2{1,128|5E12,4E17}",0.9557,0.9575,0.9563,0.9543,0.9564,0.9541,0.9546,0.9572,0.9563,0.9542,0.8584,average_common_pool.py
"30D[70|0|30]#S3{1,128|5E12,4E17}",0.9628,0.9635,0.9628,0.9632,0.9636,0.9631,0.9636,0.9641,0.9664,0.9646,0.8579,pref_steal_agreement.py
"30D[70|0|30]#S4{1,128|5E12,4E17}",0.9599,0.9616,0.9621,0.9623,0.9624,0.9624,0.9617,0.9625,0.9613,0.9634,0.8620,rigid_backfill.py
"30D[70|0|30]#S5{1,128|5E12,4E17}",0.9577,0.9579,0.9577,0.9581,0.9590,0.9585,0.9588,0.9589,0.9586,0.9553,0.8630,min_common_pool.py
"30D[70|0|30]#S6{1,128|5E12,4E17}",0.9689,0.9686,0.9691,0.9667,0.9693,0.9679,0.9689,0.9700,0.9689,0.9689,0.8584,pref_common_pool.py
"30D[70|0|30]#S7{1,128|5E12,4E17}",0.9729,0.9726,0.9733,0.9742,0.9731,0.9714,0.9748,0.9749,0.9707,0.9744,0.8599,pref_common_pool.py
"30D[70|0|30]#S8{1,128|5E12,4E17}",0.9699,0.9686,0.9699,0.9683,0.9690,0.9683,0.9698,0.9710,0.9707,0.9683,0.8639,pref_common_pool.py
"30D[70|0|30]#S9{1,128|5E12,4E17}",0.9663,0.9638,0.9648,0.9692,0.9679,0.9668,0.9667,0.9686,0.9649,0.9661,0.8530,min_agreement.py
"30D[60|0|40]#S0{1,128|5E12,4E17}",0.9694,0.9689,0.9699,0.9704,0.9696,0.9694,0.9686,0.9711,0.9698,0.9682,0.8609,pref_common_pool.py
"30D[60|0|40]#S1{1,128|5E12,4E17}",0.9715,0.9719,0.9707,0.9704,0.9711,0.9708,0.9708,0.9709,0.9712,0.9716,0.8650,average_common_pool.py
"30D[60|0|40]#S2{1,128|5E12,4E17}",0.9587,0.9593,0.9600,0.9578,0.9573,0.9575,0.9564,0.9586,0.9576,0.9542,0.8584,average_steal_agreement.py
"30D[60|0|40]#S3{1,128|5E12,4E17}",0.9632,0.9631,0.9632,0.9628,0.9632,0.9629,0.9641,0.9630,0.9642,0.9646,0.8579,rigid_backfill.py
"30D[60|0|40]#S4{1,128|5E12,4E17}",0.9653,0.9650,0.9653,0.9655,0.9638,0.9652,0.9637,0.9637,0.9659,0.9634,0.8620,pref_steal_agreement.py
"30D[60|0|40]#S5{1,128|5E12,4E17}",0.9589,0.9602,0.9591,0.9601,0.9592,0.9598,0.9605,0.9598,0.9602,0.9553,0.8630,pref_agreement.py
"30D[60|0|40]#S6{1,128|5E12,4E17}",0.9708,0.9716,0.9706,0.9709,0.9724,0.9716,0.9717,0.9729,0.9719,0.9689,0.8584,pref_common_pool.py
"30D[60|0|40]#S7{1,128|5E12,4E17}",0.9756,0.9760,0.9756,0.9753,0.9760,0.9751,0.9757,0.9761,0.9761,0.9744,0.8599,pref_steal_agreement.py
"30D[60|0|40]#S8{1,128|5E12,4E17}",0.9715,0.9720,0.9713,0.9709,0.9712,0.9708,0.9714,0.9716,0.9719,0.9683,0.8639,average_common_pool.py
"30D[60|0|40]#S9{1,128|5E12,4E17}",0.9698,0.9699,0.9709,0.9701,0.9712,0.9710,0.9702,0.9726,0.9717,0.9661,0.8530,pref_common_pool.py
