input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py
"30D[30|0|70]#S0{1,128|5E12,4E17}","2039, 23.6, 0.9","2058, 24.0, 0.9","2030, 23.9, 0.9","2038, 23.8, 0.9","2063, 23.8, 0.9","2057, 24.0, 0.9","2424, 17.9, 1.0","2390, 17.9, 1.0","2382, 17.9, 1.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S1{1,128|5E12,4E17}","1947, 25.9, 0.9","1980, 25.8, 0.9","1959, 26.1, 0.9","1962, 25.7, 0.9","1960, 25.3, 0.9","1962, 25.7, 0.9","2427, 18.6, 1.1","2459, 18.3, 1.1","2426, 18.6, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S2{1,128|5E12,4E17}","2000, 23.8, 0.9","2016, 23.6, 0.9","1991, 23.9, 0.9","1963, 23.9, 0.9","2018, 23.9, 0.9","1980, 24.1, 0.9","2410, 18.2, 1.0","2495, 18.0, 1.1","2414, 18.1, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S3{1,128|5E12,4E17}","2045, 25.1, 0.9","2096, 25.0, 0.9","2053, 25.1, 0.9","2039, 25.4, 0.9","2065, 25.0, 0.9","2032, 25.4, 0.9","2540, 18.2, 1.1","2595, 17.9, 1.1","2589, 18.1, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S4{1,128|5E12,4E17}","1976, 24.7, 0.9","1980, 24.5, 0.9","1967, 24.8, 0.9","1951, 25.1, 0.9","1976, 24.6, 0.9","1957, 25.2, 0.9","2433, 18.2, 1.1","2466, 18.2, 1.1","2392, 18.2, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S5{1,128|5E12,4E17}","2007, 26.8, 0.9","2035, 26.2, 0.9","2007, 26.8, 0.9","1983, 26.6, 0.9","2019, 27.1, 0.9","1983, 26.6, 0.9","2483, 19.2, 1.1","2487, 19.2, 1.1","2467, 19.3, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S6{1,128|5E12,4E17}","2039, 24.4, 0.9","2058, 24.3, 0.9","2047, 24.4, 0.9","2016, 24.4, 0.9","2036, 24.7, 0.9","2010, 24.9, 0.9","2476, 18.1, 1.1","2466, 18.3, 1.1","2431, 18.1, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S7{1,128|5E12,4E17}","2038, 24.0, 0.9","2066, 23.6, 0.9","2048, 23.9, 0.9","2022, 24.5, 0.9","2047, 23.8, 0.9","2022, 24.5, 0.9","2481, 17.6, 1.1","2538, 17.7, 1.1","2456, 17.7, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S8{1,128|5E12,4E17}","2057, 24.4, 0.9","2064, 24.1, 0.9","2030, 24.3, 0.9","2018, 24.8, 0.9","2052, 24.3, 0.9","2018, 24.8, 0.9","2479, 17.9, 1.1","2546, 17.9, 1.1","2487, 18.0, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S9{1,128|5E12,4E17}","1953, 23.6, 0.9","1985, 23.0, 0.9","1964, 23.1, 0.9","1946, 23.5, 0.9","2005, 23.5, 0.9","1958, 23.5, 0.9","2370, 17.4, 1.0","2412, 17.7, 1.1","2370, 17.4, 1.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S0{1,128|5E12,4E17}","2179, 24.2, 0.9","2225, 24.1, 1.0","2179, 24.2, 0.9","2173, 24.4, 0.9","2190, 24.7, 0.9","2169, 24.7, 0.9","2659, 18.3, 1.1","2634, 18.1, 1.1","2667, 18.3, 1.2","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S1{1,128|5E12,4E17}","2060, 26.5, 0.9","2102, 25.8, 0.9","2060, 26.4, 0.9","2028, 26.5, 0.9","2085, 26.0, 0.9","2028, 26.5, 0.9","2538, 18.7, 1.1","2627, 18.7, 1.2","2515, 18.7, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S2{1,128|5E12,4E17}","2097, 23.9, 0.9","2124, 23.7, 0.9","2108, 24.0, 0.9","2078, 24.6, 0.9","2086, 23.7, 0.9","2076, 24.4, 0.9","2526, 18.4, 1.1","2587, 18.2, 1.1","2464, 18.5, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S3{1,128|5E12,4E17}","2175, 25.3, 0.9","2197, 25.3, 1.0","2175, 25.3, 0.9","2163, 25.8, 0.9","2157, 25.3, 0.9","2164, 25.7, 0.9","2638, 18.1, 1.1","2664, 18.0, 1.2","2614, 18.1, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S4{1,128|5E12,4E17}","2066, 25.4, 0.9","2122, 25.0, 0.9","2089, 25.6, 0.9","2059, 25.3, 0.9","2102, 25.1, 0.9","2059, 25.3, 0.9","2500, 18.4, 1.1","2606, 18.1, 1.2","2541, 18.4, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S5{1,128|5E12,4E17}","2150, 27.1, 0.9","2185, 27.0, 1.0","2145, 27.1, 0.9","2095, 27.0, 0.9","2108, 27.1, 0.9","2095, 27.0, 0.9","2524, 19.2, 1.1","2572, 19.5, 1.1","2546, 19.4, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S6{1,128|5E12,4E17}","2113, 24.8, 0.9","2138, 24.9, 0.9","2115, 24.7, 0.9","2089, 24.9, 0.9","2116, 24.9, 0.9","2086, 24.9, 0.9","2603, 18.6, 1.1","2592, 18.3, 1.1","2595, 18.5, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S7{1,128|5E12,4E17}","2168, 24.0, 0.9","2209, 24.4, 1.0","2174, 24.5, 0.9","2139, 24.9, 0.9","2187, 24.5, 0.9","2148, 24.7, 0.9","2631, 18.2, 1.1","2631, 18.3, 1.1","2596, 18.1, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S8{1,128|5E12,4E17}","2180, 25.4, 0.9","2182, 25.1, 0.9","2152, 25.6, 0.9","2147, 25.6, 0.9","2134, 24.8, 0.9","2143, 25.7, 0.9","2574, 18.0, 1.1","2602, 17.9, 1.1","2571, 18.1, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S9{1,128|5E12,4E17}","2054, 24.1, 0.9","2109, 24.2, 0.9","2077, 24.6, 0.9","2067, 24.8, 0.9","2108, 24.4, 0.9","2067, 24.8, 0.9","2472, 18.2, 1.1","2524, 17.9, 1.1","2485, 18.1, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[10|0|90]#S0{1,128|5E12,4E17}","2256, 24.3, 1.0","2295, 24.4, 1.0","2249, 24.4, 1.0","2256, 24.8, 1.0","2235, 23.9, 1.0","2253, 24.5, 1.0","2682, 18.5, 1.2","2673, 18.1, 1.2","2633, 18.3, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[10|0|90]#S1{1,128|5E12,4E17}","2143, 25.7, 1.0","2185, 26.2, 1.0","2155, 25.9, 1.0","2137, 25.9, 1.0","2162, 26.2, 1.0","2151, 26.2, 1.0","2526, 18.7, 1.1","2497, 18.7, 1.1","2530, 18.6, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[10|0|90]#S2{1,128|5E12,4E17}","2209, 24.4, 1.0","2220, 24.2, 1.0","2209, 24.4, 1.0","2211, 24.9, 1.0","2233, 24.3, 1.0","2209, 24.8, 1.0","2530, 18.2, 1.1","2666, 18.1, 1.2","2629, 18.3, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[10|0|90]#S3{1,128|5E12,4E17}","2261, 25.0, 1.0","2277, 24.8, 1.0","2264, 25.1, 1.0","2234, 25.8, 1.0","2283, 25.4, 1.0","2239, 25.9, 1.0","2617, 18.1, 1.1","2619, 18.0, 1.1","2624, 18.0, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[10|0|90]#S4{1,128|5E12,4E17}","2169, 24.9, 1.0","2190, 25.1, 1.0","2163, 24.3, 1.0","2097, 24.6, 0.9","2153, 24.9, 1.0","2103, 24.7, 0.9","2465, 18.3, 1.1","2573, 18.2, 1.1","2514, 18.3, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[10|0|90]#S5{1,128|5E12,4E17}","2230, 26.5, 1.0","2247, 26.2, 1.0","2230, 26.5, 1.0","2202, 26.6, 1.0","2231, 26.5, 1.0","2201, 26.7, 1.0","2543, 19.5, 1.1","2591, 19.4, 1.1","2557, 19.5, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[10|0|90]#S6{1,128|5E12,4E17}","2205, 24.3, 1.0","2207, 24.0, 1.0","2211, 24.5, 1.0","2190, 25.0, 0.9","2202, 24.6, 1.0","2188, 24.9, 0.9","2466, 18.4, 1.1","2475, 18.1, 1.1","2455, 18.3, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[10|0|90]#S7{1,128|5E12,4E17}","2227, 24.7, 1.0","2254, 23.9, 1.0","2222, 24.7, 1.0","2206, 24.6, 1.0","2244, 24.4, 1.0","2213, 24.8, 1.0","2516, 18.2, 1.1","2595, 18.0, 1.1","2519, 18.1, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[10|0|90]#S8{1,128|5E12,4E17}","2259, 25.9, 1.0","2264, 24.9, 1.0","2248, 25.9, 1.0","2235, 26.4, 1.0","2232, 25.6, 1.0","2237, 26.3, 1.0","2573, 18.4, 1.1","2629, 18.1, 1.1","2563, 18.4, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[10|0|90]#S9{1,128|5E12,4E17}","2161, 25.2, 0.9","2177, 24.4, 1.0","2161, 25.2, 0.9","2160, 24.8, 0.9","2160, 24.5, 0.9","2166, 25.2, 1.0","2447, 18.3, 1.1","2583, 18.2, 1.1","2451, 18.2, 1.1","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[0|0|100]#S0{1,128|5E12,4E17}","2004, 20.3, 0.9","2076, 19.6, 0.9","2004, 20.3, 0.9","1963, 20.6, 0.8","2045, 20.1, 0.9","1963, 20.6, 0.8","1861, 17.2, 0.8","1896, 16.8, 0.8","1861, 17.2, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[0|0|100]#S1{1,128|5E12,4E17}","1939, 19.0, 0.9","2018, 18.4, 0.9","1940, 19.0, 0.9","1909, 19.2, 0.9","1967, 18.8, 0.9","1909, 19.2, 0.9","1565, 17.0, 0.7","1597, 16.7, 0.7","1566, 17.0, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[0|0|100]#S2{1,128|5E12,4E17}","1954, 17.4, 0.9","1990, 17.4, 0.9","1954, 17.4, 0.9","1941, 17.6, 0.8","1984, 17.5, 0.9","1940, 17.6, 0.8","1582, 16.2, 0.7","1602, 16.1, 0.7","1582, 16.2, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[0|0|100]#S3{1,128|5E12,4E17}","2059, 19.3, 0.9","2102, 18.8, 0.9","2059, 19.3, 0.9","2051, 18.9, 0.9","2071, 19.1, 0.9","2051, 18.9, 0.9","1638, 16.4, 0.7","1679, 16.2, 0.7","1644, 16.4, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[0|0|100]#S4{1,128|5E12,4E17}","1957, 19.9, 0.9","2003, 19.8, 0.9","1957, 19.9, 0.9","1959, 20.1, 0.9","2003, 19.9, 0.9","1959, 20.1, 0.9","1693, 17.5, 0.7","1729, 17.1, 0.8","1693, 17.5, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
